caption,comments_count,media_id,like_count,media_product_type,media_type,media_url,permalink,timestamp,username
"프로필 사진📸

세장 다 마음에듭니다!!

카메라 앞에만 서면 너무 행복해지고 재밌어진다
이게 진짜 내가 좋아하는거 아닐까?
모델 고놈 참 어렵다😅

mr.whale213 진짜 능력자형ㅠㅜㅠ이쁜사진 고마웡🥰",66,17998106740872695,1705,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/362978334_805942861178693_1156359451743386965_n.heic?stp=dst-jpg&_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=cXraZwIuY6IAX-Gz8NK&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfANHbUVS5c35AZsQ5fhs5OicKNRkyK0ixPFYYL8-HlEfw&oe=64D74E4B,https://www.instagram.com/p/CvLzxcFR13o/,2023-07-27T02:45:02+0000,jun_seonng
"망고 10개먹고 배탈이났지요🥭

보라카이 아직 10피드도 더 남았지ㅎㅎㅎㅎㅎ
가보자고~!",48,17906203907795889,0,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/362662974_230638539932445_8644057680734999569_n.heic?stp=dst-jpg&_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=zbVIaaG1AocAX-62ly3&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfD57gTeeWL-353RPwgJkHgQwsBKR8g-9zzkqAXnx1A8BA&oe=64D5E375,https://www.instagram.com/p/CvJWFD6RfV3/,2023-07-26T03:47:05+0000,jun_seonng
"#협찬 인물사진에 빠져버렸습니다📸

양재천 다녀왔는데 너무이쁘고 조용하고 좋더라구요ㅎㅎㅎ 오랜만에 밤산책하니까 좋았습니다 낭만 감성챙겨!

marcheyewear_official
선글라스 너무 가볍고 이뻐요...
이 집 안경도 선글라스도 다 잘하는집..👍🏻

#마치아이웨어 #마치안경 #마치 #마치선글라스",49,17970834191525493,0,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/362622685_673365964142858_5106555349451680256_n.heic?stp=dst-jpg&_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=0LntAS4xbHsAX9aDD4B&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfAa3TB-lKFBXDj6yjxOHWzoUy6sXsqO29HfQ2dB9XvtPA&oe=64D65228,https://www.instagram.com/p/CvGgniPvXHK/,2023-07-25T01:21:27+0000,jun_seonng
이 노래에 릴스 못참지😉,39,18013399552695395,1973,REELS,VIDEO,,https://www.instagram.com/reel/CvD996ZJzZ5/,2023-07-24T01:41:24+0000,jun_seonng
"인스타에서 릴스도 만들어주는구나?
편한 세상이네😉

8월에 찐 바프를 찍을수도..?",34,17887186766866545,1007,REELS,VIDEO,,https://www.instagram.com/reel/CvChJTTrg3L/,2023-07-23T12:10:46+0000,jun_seonng
"여행지 추천해주세요⛵

후쿠오카 보라카이 오사카 베트남다낭 가봤습니다! 이제 취미가 여행이여서🥰",30,18031972603535037,0,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/362885711_958601032087438_2705533232069461242_n.heic?stp=dst-jpg&_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=lY7sFkAVbQoAX_6Kkha&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfBKilC2sFs0yoSAerwCkdJPxQgjrJqGr3pB2I8H-p-EWA&oe=64D6E21E,https://www.instagram.com/p/CvBzIqvR0l_/,2023-07-23T05:27:04+0000,jun_seonng
"여행 유튜버 시작하면 봐주시나요?✈️

후쿠오카 여행갈때 신나서 찍어봤습니다ㅎㅎㅎㅎ
좋아요 많으면 시작해야겠다",48,18228825598230328,2804,REELS,VIDEO,https://scontent.cdninstagram.com/o1/v/t16/f1/m82/A145AB4A6B6ADA529019F1E9ECC001BD_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=scontent.cdninstagram.com&_nc_cat=101&vs=320887773606084_287262971&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC9BMTQ1QUI0QTZCNkFEQTUyOTAxOUYxRTlFQ0MwMDFCRF92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0NhN29CWC1jQmtPTkxrQUFDellFbU1WUktWc2JxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAmsoebjLO%2B0z8VAigCQzMsF0AkbxqfvnbJGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfAv_X2Vt_2194DlzdpDVFnPs4r12NTY6ddJsgEDYOMjqQ&oe=64D3761C&_nc_sid=1d576d&_nc_rid=ebfa9a5c4a,https://www.instagram.com/reel/Cu_Ptljsju2/,2023-07-22T05:40:07+0000,jun_seonng
"#협찬 모델 시켜주세요📸

저의 천직이 뭔지 사진 찍으면서 알게되었습니다.. 저는 모델이 하고싶어요😅

dnsr__official 
청바지 진짜 핏 너무 이쁘고 착용감도 좋네요ㅎㅎ
다른 바지도 입어보고싶을정도!",44,18225720460213926,1540,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/361606573_1197079257629697_3222904923181276126_n.heic?stp=dst-jpg&_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=3peuWKrUM_AAX9d5NiR&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfCkx8zfKgbmNr-U_1kf2UOO-lFzK1cihBlwMFgaERIKEA&oe=64D7733A,https://www.instagram.com/p/Cu8_t2sRN88/,2023-07-21T08:40:48+0000,jun_seonng
"#협찬 공항갔던거 바로 어제같은데...✈️
 벌써 18일 지남... 시간 실화인가요..

괜찮아 다음여행은 제주도다!⛵
8월 제주 워터밤에서 또 만나요!

여행메이트가 생겨서 너무좋다
k_kc98 

knitted__official 
믿고입는 니티드🥰 핏 진짜 너무이쁘다..",48,18019386334627734,1453,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/361965576_669869127898998_3997317657410456775_n.heic?stp=dst-jpg&_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=XuZ93GvUOl4AX_FfJF9&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfBdZiiVbSdzHcE91EuKranlpPPzB54C06LE5jaBLMQBsg&oe=64D75B33,https://www.instagram.com/p/Cu5ivSXPMYp/,2023-07-20T00:29:52+0000,jun_seonng
"#광고 아웃백에서 날 부르네?!
outbackkorea
 
아웃백에서 7년만에 등장한 특별한 신메뉴! 
 ‘본앤본 프레스티지 스테이크’를 
어머니 생신기념으로 먹고왔습니다!

서빙 나올 때 참나무 훈연향으로 시작해서
풍성 풍성한 메뉴구성
인증샷을 부르는 비주얼로
어머니 모시고 간 보람 있더라구요 
 
거대한 꽃갈비에 부드러운 안심, 신의 버터라 부르는 본매로우
여기에 다채로운 가니쉬와 음료, 수프까지 기본으로 나와요 
파스타 하나 추가해서 가족끼리 즐거운 시간 보냈어요

역시 아웃백은 아웃백이구나 느꼈답니다 세상 맛있어.. 🤤
 
 
본 리뷰는 아웃백 스테이크하우스로부터 소정의 원고료를 받아 작성하였습니다.
#아웃백  #아웃백스테이크하우스 #아웃백신메뉴 #본앤본프레스티지스테이크 #본앤본 #엄마랑 #엄마생신기념",47,18027019528568389,1156,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/361573110_796711448607578_3949482900642250665_n.heic?stp=dst-jpg&_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=rogz_dlS-xkAX8pCEIZ&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfADdoSHmMI5JP5Ah-zjTDNufaJB3nGmDDjbaTA9xYGX1g&oe=64D6E1A2,https://www.instagram.com/p/Cu3QWSSxaty/,2023-07-19T03:10:41+0000,jun_seonng
