username,제품관심,loyalty_Lv1,loyalty_Lv2,loyalty_Lv3
babyjongok,9.027027027027026,515.7027027027027,664.5135135135135,66.67567567567568
h.yun_b,9.471428571428572,204.02857142857144,679.9428571428572,87.11428571428571
hoonxxy,17.12621359223301,942.257281553398,2131.5339805825242,76.6504854368932
jiseong,8.96875,390.5,309.5,123.625
jun_seonng,11.0,92.55555555555556,188.05555555555554,248.16666666666666
kkang.stylist,1.5,236.0,34.0,166.5
seer__eul,9.511538461538462,203.54615384615386,769.4461538461538,72.93076923076923
soominnnnn,6.154761904761905,211.4404761904762,702.202380952381,43.607142857142854
w_woo.n,5.063291139240507,201.56962025316454,192.0,200.15189873417722
zzjun.k,11.534562211981568,782.1797235023041,294.184331797235,414.2534562211982
