username,year_month,comments_count_sum,comments_count_mean,like_count_sum,like_count_mean
kkang.stylist,2019-08,88,15,2943,491
kkang.stylist,2019-09,174,25,4364,623
kkang.stylist,2019-10,166,24,4807,687
kkang.stylist,2019-11,203,25,5864,733
kkang.stylist,2019-12,101,20,3889,778
kkang.stylist,2020-01,268,27,8258,826
kkang.stylist,2020-02,127,25,4948,990
kkang.stylist,2020-03,198,22,9623,1069
kkang.stylist,2020-04,80,13,6012,1002
kkang.stylist,2020-05,78,20,5494,1374
kkang.stylist,2020-06,127,64,3358,1679
kkang.stylist,2020-07,56,56,2016,2016
kkang.stylist,2020-08,180,23,8900,1113
kkang.stylist,2020-09,293,27,14635,1330
kkang.stylist,2020-10,252,36,14106,2015
kkang.stylist,2020-11,134,22,9133,1522
kkang.stylist,2020-12,132,19,10304,1472
kkang.stylist,2021-01,72,24,5672,1891
kkang.stylist,2021-02,141,24,11578,1930
kkang.stylist,2021-03,125,25,11967,2393
kkang.stylist,2021-04,153,51,7611,2537
kkang.stylist,2021-05,128,26,12182,2436
kkang.stylist,2021-06,158,26,13883,2314
kkang.stylist,2021-07,243,27,20539,2282
kkang.stylist,2021-08,177,35,15774,3155
kkang.stylist,2021-09,460,66,23760,3394
kkang.stylist,2021-10,287,36,24403,3050
kkang.stylist,2021-11,215,36,18950,3158
kkang.stylist,2021-12,385,48,26951,3369
kkang.stylist,2022-01,258,43,23748,3958
kkang.stylist,2022-02,672,112,21232,3539
kkang.stylist,2022-03,372,62,28807,4801
kkang.stylist,2022-04,293,49,28582,4764
kkang.stylist,2022-05,340,57,36942,6157
kkang.stylist,2022-06,653,65,90495,9050
kkang.stylist,2022-07,286,57,22487,4497
kkang.stylist,2022-08,494,62,43888,5486
kkang.stylist,2022-09,457,76,33332,5555
kkang.stylist,2022-10,464,46,48976,4898
kkang.stylist,2022-11,1717,191,39413,4379
kkang.stylist,2022-12,1942,177,50345,4577
kkang.stylist,2023-01,440,37,52459,4372
kkang.stylist,2023-02,1391,99,65252,4661
kkang.stylist,2023-03,4081,132,104239,3363
kkang.stylist,2023-04,2456,144,60418,3554
kkang.stylist,2023-05,796,50,40375,2523
kkang.stylist,2023-06,809,45,33513,1862
kkang.stylist,2023-07,225,15,28841,1923
kkang.stylist,2023-08,13,7,2484,1242
seer__eul,2022-05,1589,93,85564,5033
seer__eul,2022-06,3707,103,266059,7391
seer__eul,2022-07,4882,132,278507,7527
seer__eul,2022-08,4907,140,136534,3901
seer__eul,2022-09,5210,168,178018,5743
seer__eul,2022-10,6307,154,136671,3333
seer__eul,2022-11,8319,189,225452,5124
seer__eul,2022-12,7235,186,168484,4320
seer__eul,2023-01,7251,191,117176,3084
seer__eul,2023-02,5826,194,73263,2442
seer__eul,2023-03,6154,171,79148,2199
seer__eul,2023-04,4500,145,54981,1774
seer__eul,2023-05,4390,133,44722,1355
seer__eul,2023-06,3970,142,29951,1070
seer__eul,2023-07,2765,146,22330,1175
seer__eul,2023-08,657,131,8368,1674
soominnnnn,2019-01,67,34,1033,517
soominnnnn,2019-03,16,16,610,610
soominnnnn,2019-07,21,21,1014,1014
soominnnnn,2019-10,52,52,824,824
soominnnnn,2019-11,94,24,2792,698
soominnnnn,2019-12,96,48,1787,894
soominnnnn,2020-01,35,35,776,776
soominnnnn,2020-05,121,121,1161,1161
soominnnnn,2020-06,202,51,3629,907
soominnnnn,2020-07,553,69,12010,1501
soominnnnn,2020-08,234,59,5924,1481
soominnnnn,2020-09,427,85,7840,1568
soominnnnn,2020-10,610,76,11304,1413
soominnnnn,2020-11,452,90,6549,1310
soominnnnn,2020-12,415,83,4536,907
soominnnnn,2021-01,69,69,855,855
soominnnnn,2021-02,332,55,5086,848
soominnnnn,2021-03,133,67,1858,929
soominnnnn,2021-04,556,56,8357,836
soominnnnn,2021-05,347,69,4018,804
soominnnnn,2021-06,198,50,3153,788
soominnnnn,2021-07,685,57,10394,866
soominnnnn,2021-08,2052,98,29898,1424
soominnnnn,2021-09,2252,161,39745,2839
soominnnnn,2021-10,2549,232,30903,2809
soominnnnn,2021-11,3924,245,46125,2883
soominnnnn,2021-12,5644,269,60309,2872
soominnnnn,2022-01,6119,278,55913,2542
soominnnnn,2022-02,5540,292,77145,4060
soominnnnn,2022-03,5853,279,55855,2660
soominnnnn,2022-04,3389,242,29686,2120
soominnnnn,2022-05,4245,223,38336,2018
soominnnnn,2022-06,3722,219,39173,2304
