username,제품관심,loyalty_Lv1,loyalty_Lv2,loyalty_Lv3
babyjongok,334,19081,24587,2467
h.yun_b,663,14282,47596,6098
hoonxxy,3528,194105,439096,15790
jiseong,287,12496,9904,3956
jun_seonng,198,1666,3385,4467
kkang.stylist,3,472,68,333
seer__eul,2473,52922,200056,18962
soominnnnn,517,17761,58985,3663
w_woo.n,400,15924,15168,15812
zzjun.k,2503,169733,63838,89893
