cln_index,제품관심,username,loyalty_Lv1,loyalty_Lv2,loyalty_Lv3
213,3,w_woo.n,0,0,375
216,4,w_woo.n,0,0,500
217,4,w_woo.n,118,101,444
218,2,w_woo.n,84,188,166
222,0,w_woo.n,0,0,0
223,6,w_woo.n,0,0,461
225,5,w_woo.n,232,68,416
230,6,w_woo.n,0,0,428
233,7,w_woo.n,0,0,411
234,4,w_woo.n,0,0,363
235,5,w_woo.n,107,124,500
236,3,w_woo.n,172,123,187
242,3,w_woo.n,0,0,428
244,9,w_woo.n,205,201,290
245,9,w_woo.n,0,0,562
250,11,w_woo.n,236,203,305
255,11,w_woo.n,299,388,126
256,11,w_woo.n,158,295,314
257,7,w_woo.n,171,202,269
262,7,w_woo.n,0,0,700
265,6,w_woo.n,0,0,545
269,10,w_woo.n,0,0,277
271,4,w_woo.n,0,0,148
272,5,w_woo.n,0,0,128
275,1,w_woo.n,0,0,32
277,6,w_woo.n,206,109,352
279,5,w_woo.n,181,382,96
280,6,w_woo.n,183,392,111
281,1,w_woo.n,0,0,35
283,3,w_woo.n,0,0,111
289,9,w_woo.n,162,98,750
290,4,w_woo.n,256,182,114
295,7,w_woo.n,302,132,233
297,5,w_woo.n,206,356,90
298,5,w_woo.n,204,247,131
300,5,w_woo.n,271,187,131
303,6,w_woo.n,363,228,96
307,8,w_woo.n,263,238,170
308,8,w_woo.n,304,254,137
309,6,w_woo.n,251,281,113
310,4,w_woo.n,273,312,62
316,3,w_woo.n,257,306,50
322,8,w_woo.n,219,249,195
323,7,w_woo.n,185,215,233
327,4,w_woo.n,235,305,74
328,10,w_woo.n,252,286,185
331,4,w_woo.n,226,153,153
333,0,w_woo.n,257,321,0
334,4,w_woo.n,440,163,74
337,6,w_woo.n,327,183,133
338,2,w_woo.n,326,315,25
339,1,w_woo.n,580,110,20
340,8,w_woo.n,593,153,117
343,3,w_woo.n,866,117,39
344,7,w_woo.n,347,245,109
345,3,w_woo.n,386,113,90
346,5,w_woo.n,259,195,131
348,6,w_woo.n,222,186,193
349,8,w_woo.n,437,207,117
352,5,w_woo.n,346,319,60
354,6,w_woo.n,288,199,139
356,6,w_woo.n,747,150,71
357,5,w_woo.n,335,207,96
360,7,w_woo.n,268,553,63
361,4,w_woo.n,218,599,40
364,7,w_woo.n,354,464,56
366,5,w_woo.n,199,704,47
368,1,w_woo.n,314,675,6
369,4,w_woo.n,383,644,21
371,9,w_woo.n,253,617,76
375,6,w_woo.n,287,441,63
377,-8,w_woo.n,175,288,-211
380,16,hoonxxy,86,1636,888
381,21,hoonxxy,604,2597,105
382,16,hoonxxy,604,2649,78
383,21,hoonxxy,820,2803,71
384,20,hoonxxy,603,2899,89
385,15,hoonxxy,741,3040,52
386,19,hoonxxy,668,3466,64
387,18,hoonxxy,804,2468,71
388,18,hoonxxy,913,2439,63
389,17,hoonxxy,678,2430,80
390,20,hoonxxy,998,2248,69
391,17,hoonxxy,570,3988,58
392,17,hoonxxy,915,1620,89
393,18,hoonxxy,886,2648,60
394,23,hoonxxy,963,2648,70
395,24,hoonxxy,599,3154,99
396,16,hoonxxy,478,2606,100
397,22,hoonxxy,829,2724,76
398,21,hoonxxy,676,3341,72
399,22,hoonxxy,774,2383,93
400,22,hoonxxy,916,1892,99
401,18,hoonxxy,942,2339,64
402,19,hoonxxy,614,2822,85
403,18,hoonxxy,962,2446,60
404,20,hoonxxy,747,2500,84
406,21,hoonxxy,691,2814,84
407,18,hoonxxy,501,4334,64
408,19,hoonxxy,712,3638,57
