cln_index,제품관심,username,loyalty_Lv1,loyalty_Lv2,loyalty_Lv3
1167,0,zzjun.k,578,89,0
1168,4,zzjun.k,700,110,333
1169,3,zzjun.k,648,49,600
1170,7,zzjun.k,888,246,205
1171,5,zzjun.k,604,170,312
1172,0,zzjun.k,610,21,0
1173,0,zzjun.k,569,180,0
1174,2,zzjun.k,0,0,222
1175,1,zzjun.k,0,0,250
1176,3,zzjun.k,0,0,176
1177,5,zzjun.k,560,126,454
1178,1,zzjun.k,0,0,166
1179,3,zzjun.k,553,186,187
1180,3,zzjun.k,497,77,500
1181,8,zzjun.k,544,319,296
1182,3,zzjun.k,598,182,176
1183,16,zzjun.k,648,357,444
1184,4,zzjun.k,675,257,148
1185,6,zzjun.k,756,281,181
1186,4,zzjun.k,667,241,160
1187,8,zzjun.k,698,304,242
1188,5,zzjun.k,701,183,250
1189,13,zzjun.k,907,212,433
1190,10,zzjun.k,1114,202,285
1191,2,zzjun.k,1031,93,133
1192,2,zzjun.k,666,116,166
1193,5,zzjun.k,2127,63,238
1194,3,zzjun.k,2500,30,250
1195,3,zzjun.k,3135,51,120
1196,6,zzjun.k,4648,22,375
1197,1,zzjun.k,5868,12,90
1198,7,zzjun.k,3022,55,269
1199,8,zzjun.k,7145,15,470
1200,11,zzjun.k,5712,29,423
1201,2,zzjun.k,1524,29,285
1202,2,zzjun.k,982,39,333
1203,3,zzjun.k,2550,42,176
1204,2,zzjun.k,6515,11,166
1205,2,zzjun.k,1263,86,117
1206,4,zzjun.k,1311,73,266
1207,2,zzjun.k,1265,35,285
1208,1,zzjun.k,1115,69,83
1209,4,zzjun.k,1044,80,307
1210,2,zzjun.k,1145,61,181
1211,7,zzjun.k,1120,178,225
1212,3,zzjun.k,1457,75,176
1213,6,zzjun.k,1438,76,352
1214,0,zzjun.k,1079,71,0
1215,6,zzjun.k,896,136,315
1216,4,zzjun.k,1024,119,210
1217,1,zzjun.k,795,89,90
1218,7,zzjun.k,934,124,388
1219,4,zzjun.k,832,85,363
1226,10,h.yun_b,64,1145,135
1228,6,h.yun_b,0,0,96
1229,16,h.yun_b,0,0,197
1231,18,h.yun_b,56,1069,300
1233,15,h.yun_b,0,0,150
1236,16,h.yun_b,0,0,213
1237,18,h.yun_b,110,1191,136
1241,13,h.yun_b,85,704,216
1242,10,h.yun_b,199,610,81
1243,8,h.yun_b,131,849,71
1246,17,h.yun_b,102,927,178
1247,19,h.yun_b,115,950,172
1248,13,h.yun_b,184,677,104
1253,9,h.yun_b,94,1240,76
1254,9,h.yun_b,148,1052,57
1255,22,h.yun_b,115,1293,147
1256,10,h.yun_b,121,1001,81
1259,11,h.yun_b,133,924,88
1262,11,h.yun_b,110,643,154
1265,21,h.yun_b,102,963,212
1268,10,h.yun_b,89,1044,106
1269,6,h.yun_b,99,830,72
1270,8,h.yun_b,107,972,76
1272,8,h.yun_b,109,851,86
1273,9,h.yun_b,156,863,66
1274,15,h.yun_b,128,1124,103
1276,6,h.yun_b,118,1253,40
1277,6,h.yun_b,134,1011,44
1278,12,h.yun_b,132,827,109
1279,11,h.yun_b,118,1125,82
1280,12,h.yun_b,115,1260,82
1282,6,h.yun_b,150,1009,39
1283,11,h.yun_b,130,920,91
1286,9,h.yun_b,112,1230,64
1288,9,h.yun_b,186,684,70
1289,5,h.yun_b,184,893,30
1290,10,h.yun_b,237,701,59
1291,7,h.yun_b,160,830,52
1292,3,h.yun_b,151,700,28
1294,9,h.yun_b,239,700,53
1295,6,h.yun_b,192,854,36
1296,7,h.yun_b,184,778,48
1297,8,h.yun_b,166,813,58
1298,11,h.yun_b,219,714,70
1300,17,h.yun_b,189,607,147
1301,9,h.yun_b,210,369,115
1302,3,h.yun_b,162,732,25
1303,7,h.yun_b,205,675,50
1304,14,h.yun_b,139,664,150
1306,11,h.yun_b,138,836,94
1307,8,h.yun_b,607,261,50
1309,7,h.yun_b,223,562,55
1311,9,h.yun_b,210,521,81
1312,7,h.yun_b,309,320,70
1313,9,h.yun_b,383,359,65
1314,7,h.yun_b,390,319,56
1315,5,h.yun_b,541,217,42
1316,9,h.yun_b,516,297,58
1317,7,h.yun_b,446,330,47
1319,1,h.yun_b,378,295,8
1320,7,h.yun_b,307,477,47
1322,10,h.yun_b,416,288,83
1323,3,h.yun_b,694,211,20
1327,6,h.yun_b,305,353,55
1328,7,h.yun_b,227,359,85
1329,8,h.yun_b,385,308,67
1330,5,h.yun_b,561,238,37
1331,1,h.yun_b,317,258,12
1332,5,h.yun_b,344,206,70
1333,5,h.yun_b,196,310,81
1336,9,jiseong,332,374,95
1337,6,jiseong,1290,123,50
1339,10,jiseong,243,424,128
1340,17,jiseong,218,455,226
1342,11,jiseong,233,345,180
1343,8,jiseong,331,323,98
1348,14,jiseong,260,452,157
1349,9,jiseong,258,322,142
1350,11,jiseong,292,381,130
1352,13,jiseong,222,417,185
1354,14,jiseong,542,241,141
1355,8,jiseong,257,344,119
1356,15,jiseong,342,391,148
1358,5,jiseong,282,422,55
1359,3,jiseong,231,418,41
1360,11,jiseong,310,375,125
1362,10,jiseong,330,392,102
1363,5,jiseong,287,405,56
1365,11,jiseong,335,331,130
1369,31,jiseong,303,361,373
1373,4,jiseong,541,244,40
1376,4,jiseong,975,164,33
1377,5,jiseong,574,253,45
1378,4,jiseong,362,284,51
1382,4,jiseong,799,162,40
1384,7,jiseong,381,232,104
1385,7,jiseong,371,224,111
1387,8,jiseong,311,234,145
1388,5,jiseong,800,101,81
1389,5,jiseong,200,184,178
1390,10,jiseong,125,327,322
1391,3,jiseong,159,199,125
1396,10,soominnnnn,230,248,125
1398,2,soominnnnn,221,283,22
1404,10,soominnnnn,240,259,114
1405,15,soominnnnn,213,345,145
1410,9,soominnnnn,138,412,112
1414,3,soominnnnn,217,392,25
1418,9,soominnnnn,287,417,53
1422,9,soominnnnn,214,402,74
1424,7,soominnnnn,172,426,67
1426,5,soominnnnn,370,381,25
1427,8,soominnnnn,236,483,50
1428,6,soominnnnn,193,518,42
1429,9,soominnnnn,346,529,35
1436,4,soominnnnn,457,767,8
1437,7,soominnnnn,263,1043,18
1438,3,soominnnnn,393,812,6
1441,5,soominnnnn,305,829,14
1442,4,soominnnnn,547,635,8
1443,7,soominnnnn,214,1045,22
1444,3,soominnnnn,299,830,8
1446,7,soominnnnn,209,999,23
1458,7,soominnnnn,167,1074,27
1462,6,soominnnnn,160,925,28
1463,6,soominnnnn,217,683,28
1465,6,soominnnnn,137,944,33
1467,6,soominnnnn,118,1000,36
1468,8,soominnnnn,173,1068,30
1469,6,soominnnnn,136,1036,30
1471,10,soominnnnn,134,1237,43
1473,7,soominnnnn,131,1075,35
1475,5,soominnnnn,169,716,29
1477,12,soominnnnn,109,944,82
1479,4,soominnnnn,224,878,14
1480,8,soominnnnn,169,1500,22
1481,8,soominnnnn,131,1526,28
1482,7,soominnnnn,178,1067,26
1483,6,soominnnnn,196,945,23
1485,6,soominnnnn,150,1033,27
1489,5,soominnnnn,177,1053,19
1492,9,soominnnnn,181,997,35
1493,10,soominnnnn,270,725,36
1494,9,soominnnnn,161,1349,29
1495,6,soominnnnn,112,1455,26
1496,5,soominnnnn,204,1296,13
1500,6,soominnnnn,203,1142,18
1501,4,soominnnnn,120,1284,18
1503,7,soominnnnn,124,1428,28
1504,5,soominnnnn,104,1360,25
1506,4,soominnnnn,271,969,10
1507,5,soominnnnn,258,709,19
1509,7,soominnnnn,217,856,26
1511,4,soominnnnn,268,744,14
1512,3,soominnnnn,163,845,15
1513,12,seer__eul,144,1015,75
